agg_level_desc,state_alpha,year,source_desc,short_desc,unit_desc,sector_desc,group_desc,commodity_desc,domain_desc,domaincat_desc,value,value_num,censored,ch2_tables,ch2_table_name
STATE,AK,2002,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,81,81,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2002,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,94,94,FALSE,1,State Summary Highlights:  2022
STATE,AK,2007,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,60,60,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2007,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,80,80,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,33,33,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,80,80,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,13,13,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,75,75,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,12,12,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2022,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,72,72,FALSE,1,State Summary Highlights:  2022
