county_name,county_code,year,source_desc,short_desc,unit_desc,sector_desc,group_desc,commodity_desc,domain_desc,domaincat_desc,value,value_num,censored,ch2_tables,ch2_table_name
ALEUTIAN ISLANDS,010,2002,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,360,360,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2007,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,1000,1000,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2012,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,60,60,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2017,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,13,13,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2022,CENSUS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","ACRES / OPERATION, MEDIAN",ECONOMICS,FARMS & LAND & ASSETS,FARM OPERATIONS,TOTAL,NOT SPECIFIED,10,10,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2002,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,36,36,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2007,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,35,35,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,40,40,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,46,46,FALSE,1,State Summary Highlights:  2022
ALEUTIAN ISLANDS,010,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,66,66,FALSE,1,State Summary Highlights:  2022
